minute,composite_z,is_anomalous,consecutive_anomalous,resp_anomalous,consecutive_resp_anomalous,alert_fired,alert_type,hr_z,hrv_rmssd_z,resp_rate_z,movement_z
0,0.0,False,0,False,0,False,,0.0,-0.0,-0.0,0.0
5,-695.6376654000234,False,0,False,0,False,,-1018.749294760724,-86.2734204805733,-821.8326893433314,-855.6952570154648
10,21.397001993833754,False,0,False,0,False,,-2.4881190794822414,108.46046914554267,-3.700807555121197,-16.683534535604217
15,-0.8832786922211361,False,0,False,0,False,,1.9768960756877223,-5.316991331105042,-1.0896287263282587,0.8966092128610339
20,-10.43553146733543,False,0,False,0,False,,-19.04158467795208,-3.2053738415008173,-1.9095916267529953,-17.585575723135833
25,-3.2353701419419605,False,0,False,0,False,,2.555931021644339,-12.983204861403967,-1.3913029427035803,-1.1229037853046326
30,-0.975185510768218,False,0,False,0,False,,-2.941886343176312,-1.3064404847999571,0.49417462298915393,-0.1465898380857566
35,-1.8299929248805944,False,0,False,0,False,,-3.1696567358642698,-3.417856839962397,2.9148754213818013,-3.647333545077512
40,-1.3381608319006215,False,0,False,0,False,,-3.8595862490153374,3.50485629728774,-2.476131239376748,-2.521782136498141
45,-0.021348831214198782,False,0,False,0,False,,-0.20811405701876912,1.4488841628254234,-1.8457238972066368,0.5195584665431874
50,-1.7668808800303113,False,0,False,0,False,,-0.8321445748699233,-3.2396391036442393,-3.7849063778858154,0.789166536278733
55,-1.3455992817264064,False,0,False,0,False,,-0.07930870775952359,-2.667967136499718,-2.684386873761317,0.049265591114933484
60,-2.557338807288041,False,0,False,0,False,,-0.8705408653689938,-4.027614069048951,-0.7295939706322059,-4.601606324102013
65,-0.4131104128294001,False,0,False,0,False,,-2.10964862372367,-0.3563544257006127,-1.6861184591239113,2.4996798572305936
70,-1.8893634555258756,False,0,False,0,False,,-2.048553255114618,-1.8661508045256643,-2.586865850747318,-1.0558839117159022
75,1.305299849069975,False,0,False,0,False,,-1.1564100531216626,1.3539383832419654,1.116760464228913,3.9069106019306843
80,-1.4290911884448914,False,0,False,0,False,,-4.082584789218063,-1.3068023739467705,0.5433645672512574,-0.8703421578659883
85,-1.1832576814036717,False,0,False,0,False,,-2.4021618603279693,-2.0126852521169574,-0.1641964607663666,-0.1539871524033939
90,-0.8582237759392983,False,0,False,0,False,,-1.8134509567084707,-2.5094894735786495,2.4395511979247315,-1.5495058713948042
95,-0.709708126559419,False,0,False,0,False,,-2.8241753290898455,-1.8228219726899444,1.9306747192349387,-0.12250992369282533
100,-1.1033044195871666,False,0,False,0,False,,-1.3612988235132744,-3.7815168825376895,-0.525397605676835,1.2549956333791326
105,-0.6458042011199338,False,0,False,0,False,,-2.571057187900342,-0.6336481544898814,1.111001068531947,-0.48951253062145866
110,-0.5596252957948539,False,0,False,0,False,,-1.4047874767907298,-0.914333868575237,-0.07597669570535143,0.1565968578919029
